MEgrey60	MEblue	MEblack	MEdarkturquoise	MEsteelblue	MEgreenyellow	MEpink	MElightyellow	MEbrown	MEgreen	MEdarkorange	MElightgreen	MEcyan	MEdarkmagenta	MEmidnightblue	MEwhite	MEgrey
E1_S49_L001_R1_001	0.0197961079703744	0.0151871711976827	0.0337226085931861	0.0534816197442053	0.00812736792469398	0.0338091286478517	-0.00601058249946328	0.0621564890303975	0.0193825947307688	0.0408783689425889	-0.00480067036085165	0.00556892900174396	0.0209846500125978	0.0557299015328248	0.0688564353023367	0.0263936095827271	0.00495678964400571
E1_S49_L002_R1_001	-0.253048614555215	-0.0296060770532034	0.129024563648977	-0.00121969034766456	0.020644062086684	-0.0949200806961501	0.183515648628368	0.133966249197536	0.225663196724748	0.119411335098694	0.0886381329478508	0.0629032991534824	-0.171473595570153	-0.196604229194377	0.146863685028146	-0.0437294486035411	0.211656642286725
E2_S50_L001_R1_001	-0.0272904383030692	-0.238705585101586	0.154425440247379	0.0146461593732871	0.00680634114352762	-0.0534802171264948	-0.0784422678345441	0.0245694609840689	0.180903106595204	0.136303343388619	-0.0504741445967489	-0.188246520948604	-0.273006844942348	-0.0168832302449167	-0.278434439187427	0.0903414525446579	0.0989326709123281
E2_S50_L002_R1_001	-0.0767668178210886	-0.192078560615793	0.190918127217108	0.0818438629663127	0.00539999715758067	-0.0458085739959782	-0.130793864502345	-0.0424246326579093	0.156504822614613	0.0955206201662641	-0.0763269388171397	-0.202008368425949	-0.240775014554134	0.0300583983705425	-0.250636410241979	0.117767776796028	0.0630266384395869
E3_S51_L001_R1_001	-0.0542678883779068	-0.383754531337565	-0.411048932102989	-0.418909267722051	-0.420893727988075	-0.103236273320475	0.0752501825888137	-0.0992274418482826	-0.274085594926604	-0.250159946818074	0.235100506379637	-0.0938207416481097	0.39704732910524	0.42338659220621	0.188943254743827	0.325332044652944	-0.0358021022465445
E3_S51_L002_R1_001	-0.0604843176545266	-0.364663154472797	-0.376702087547447	-0.394222759109179	-0.386515789882515	-0.0760585043859952	0.0641894871348555	-0.101871284724126	-0.245478519085113	-0.229922843052365	0.280313128597811	-0.0409643283920075	0.389457026004273	0.431177385765107	0.238016665654339	0.353877462202919	-0.131360241880098
E4_S52_L001_R1_001	0.12768237434039	0.0887788928813223	-0.0862911251672351	-0.0523823812897059	0.138294841926693	0.206199358456755	0.183413973282778	0.0192292000694082	-0.00786329662291933	0.0522166344819207	-0.0698378998121177	0.163352367073167	0.0972746268501876	-0.0330267886649964	-0.198012178712705	-0.0961898000920119	-0.00984643062162931
E4_S52_L002_R1_001	0.295387227998266	-0.00699132766183552	-0.167816568162486	-0.143219231780262	0.0589429911436325	0.199803192888654	-0.0295890918199803	-0.0499003051823518	-0.0464758085196752	0.0614972060089482	-0.049521169537173	0.139995854281594	0.0877987138198743	0.0685785628278437	-0.280883815725691	-0.0647218390187411	-0.00823220364655572
E5_S53_L001_R1_001	-0.12642416008826	-0.112686721762952	0.0417663987447576	-0.0971146025484975	-0.0958143200075782	-0.134299181061306	-0.161314081013596	0.241988430749385	0.193678264885689	0.203336823150994	0.124548174089116	0.0599531681741456	-0.0542390716351154	-0.032457293626829	-0.128091987756871	0.181695472456286	0.179519388899522
E5_S53_L002_R1_001	-0.204455956706052	0.106073652701223	0.22453080788822	0.262981832533027	-0.0814979254695501	-0.0568870652267831	-0.219405983538314	-0.356047963673638	0.00584489614375508	-0.0114248653307278	-0.0525803191197507	-0.120636463571422	0.131656471551172	0.225288781698948	0.479030493012376	0.208852136303063	-0.149492948841891
E6_S54_L001_R1_001	0.229771905828224	0.134961923850535	-0.170809651637533	-0.173809939161465	-0.319504582195345	-0.369257718647155	-0.178286258823274	-0.253287403602103	-0.0955589460121237	0.0335849588740969	0.184600052641358	0.107501390702073	0.165303627465432	0.109246013217498	0.190088275324625	-0.0249334007587402	0.0662902040190279
E6_S54_L002_R1_001	0.183913815576322	0.135303854820276	-0.234149982293828	-0.240152576654998	-0.294664732645642	-0.323197156577984	-0.259892312492247	-0.100734793720411	-0.082707268025864	0.0283875539731177	0.219649304747092	0.142299916741754	0.173718118902234	0.040449917614431	-0.0507601100130794	-0.0552295714501821	0.133328458464198
E7_S55_L001_R1_001	0.413466281293217	0.0611464196676378	-0.0944569439724202	-0.017151613740403	0.148631066198999	-0.0933835750491283	-0.00718088515671873	-0.0831488718923208	-0.249143917441375	-0.297550527062955	-0.243951082484611	-0.170373648269403	-0.216466661693175	-0.130586636519473	-0.311278350360286	-0.342303321689807	-0.119489923454995
E7_S55_L002_R1_001	0.299400621372365	0.331493242153944	0.142771306213388	0.269694276249434	0.221732019020295	-0.00300185017785235	0.0704721205698502	-0.212691618865144	-0.314970915843846	-0.425068155263299	-0.293596923436009	-0.200497132552509	-0.0179053487064594	-0.0503460093674902	-0.2402244537496	-0.215274770272258	-0.293841685454472
