gene_name	cluster
278	GTSE1	cl1
279	BUB3	cl1
280	RAD51AP1	cl1
281	CENPW	cl1
282	CENPN	cl1
283	LMNB1	cl1
284	FANCI	cl1
285	CLSPN	cl1
286	E2F1	cl1
287	DNMT1	cl1
288	CDC26	cl1
289	NCAPG2	cl1
290	H2AX	cl1
291	E2F8	cl1
292	CENPH	cl1
293	ZWILCH	cl1
294	STX1A	cl1
295	FABP4	cl1
296	CDKN2D	cl1
297	MAPK12	cl1
298	LIG1	cl1
299	POC1A	cl1
300	DYNC1H1	cl1
301	PPP1R13L	cl1
302	TELO2	cl1
303	COL5A3	cl1
304	COL6A2	cl1
305	COL6A1	cl1
306	ITGA5	cl1
307	P3H2	cl1
308	UCP2	cl1
309	PGM2L1	cl1
310	MAVS	cl1
311	WDR34	cl1
312	LOXL3	cl1
313	MMP3	cl1
314	MMP1	cl1
315	FBN2	cl1
316	WNT5A	cl1
317	RSPO3	cl1
318	ZMYND8	cl1
319	TNC	cl1
320	ORAI2	cl1
321	NOTCH3	cl1
322	TNRC6A	cl1
323	SYNE2	cl1
324	LMNB2	cl1
325	MYBBP1A	cl1
326	RRP12	cl1
327	ZNF579	cl1
328	PYGB	cl1
329	SLC9A3R2	cl1
330	PIGQ	cl1
331	ST6GALNAC4	cl1
332	ACAN	cl2
333	ADAMTS4	cl2
334	BAMBI	cl2
335	BGLAP	cl2
336	BGN	cl2
337	BMP1	cl2
338	BMP2	cl2
339	BMP4	cl2
340	BMP7	cl2
341	CCN2	cl2
342	CD44	cl2
343	COL11A1	cl2
344	COL11A2	cl2
345	COL12A1	cl2
346	COL14A1	cl2
347	COL15A1	cl2
348	COL16A1	cl2
349	COL18A1	cl2
350	COL1A1	cl2
351	COL1A2	cl2
352	COL2A1	cl2
353	COL3A1	cl2
354	COL4A1	cl2
355	COL4A2	cl2
356	COL4A3	cl2
357	COL4A4	cl2
358	COL4A5	cl2
359	COL4A6	cl2
360	COL5A1	cl2
361	COL5A2	cl2
362	COL5A3	cl2
363	COL6A1	cl2
364	COL6A2	cl2
365	COL6A3	cl2
366	COMP	cl2
367	CTHRC1	cl2
368	CXCL12	cl2
369	DCN	cl2
370	DPT	cl2
371	ELN	cl2
372	FBLN1	cl2
373	FBLN2	cl2
374	FBN1	cl2
375	FBN2	cl2
376	FBXO32	cl2
377	FGF10	cl2
378	FGF2	cl2
379	FGF7	cl2
380	FGL2	cl2
381	FMOD	cl2
382	FN1	cl2
383	GP6	cl2
384	GPC1	cl2
385	HGF	cl2
386	HS2ST1	cl2
387	HSPG2	cl2
388	IBSP	cl2
389	IGF1	cl2
390	ITGA1	cl2
391	ITGA10	cl2
392	ITGA11	cl2
393	ITGA2	cl2
394	ITGA2B	cl2
395	ITGA3	cl2
396	ITGA4	cl2
397	ITGA5	cl2
398	ITGA6	cl2
399	ITGA7	cl2
400	ITGA8	cl2
401	ITGA9	cl2
402	ITGAV	cl2
403	ITGB1	cl2
404	ITGB3	cl2
405	ITGB4	cl2
406	ITGB5	cl2
407	ITGB6	cl2
408	ITGB7	cl2
409	ITGB8	cl2
410	KDR	cl2
411	LAMA1	cl2
412	LAMA3	cl2
413	LAMA4	cl2
414	LAMA5	cl2
415	LAMB1	cl2
416	LAMC1	cl2
417	LAMC2	cl2
418	LAMC3	cl2
419	LOX	cl2
420	LUM	cl2
421	MFAP2	cl2
422	MKX	cl2
423	MMP1	cl2
424	MMP13	cl2
425	MMP14	cl2
426	MMP2	cl2
427	MMP3	cl2
428	MMP7	cl2
429	MMP9	cl2
430	NEDD4L	cl2
431	NID1	cl2
432	P3H1	cl2
433	PCOLCE	cl2
434	PDGFB	cl2
435	PDGFRA	cl2
436	PDGFRB	cl2
437	POSTN	cl2
438	PTK2	cl2
439	SDC1	cl2
440	SDC2	cl2
441	SDC4	cl2
442	SERPINE1	cl2
443	SMAD2	cl2
444	SMAD3	cl2
445	SMAD6	cl2
446	SMAD7	cl2
447	SPARC	cl2
448	SPP1	cl2
449	TGFB1	cl2
450	TGFB2	cl2
451	TGFB3	cl2
452	TGFBR1	cl2
453	TGFBR2	cl2
454	THBS1	cl2
455	THBS4	cl2
456	TNXB	cl2
457	DCN	cl2
458	MMP2	cl2
459	TGFB1	cl2
460	COMP	cl2
461	COL1A1	cl2
462	TGFB3	cl2
463	MMP13	cl2
464	VCAN	cl2
465	TNC	cl2
466	LUM	cl2
467	MMP3	cl2
468	MMP1	cl2
469	BGN	cl2
470	FBLN1	cl2
471	FN1	cl2
472	FMOD	cl2
473	ELN	cl2
474	TNR	cl2
475	CCN2	cl2
476	ADAMTS4	cl2
477	BGLAP	cl2
478	MMP9	cl2
479	SDC4	cl2
480	HSPG2	cl2
481	BMP2	cl2
482	SPP1	cl2
483	FBLN2	cl2
484	CD44	cl2
485	TIMP1	cl2
486	COL1A2	cl2
487	COL2A1	cl2
488	SMAD7	cl2
489	SMAD6	cl2
490	TGFBR2	cl2
491	TGFBR1	cl2
492	IBSP	cl2
493	SPARC	cl2
494	BMP4	cl2
495	BMP7	cl2
496	IGF1	cl2
497	PCOLCE	cl2
498	VTN	cl2
499	THBS1	cl2
500	GPC1	cl2
501	NID1	cl2
502	COL6A3	cl2
503	COL6A2	cl2
504	COL3A1	cl2
505	BMP1	cl2
506	SDC2	cl2
507	COL12A1	cl2
508	FBN1	cl2
509	TGFB2	cl2
510	COL18A1	cl2
511	COL4A1	cl2
512	COL5A1	cl2
513	COL5A2	cl2
514	POSTN	cl2
515	COL6A1	cl2
516	MFAP2	cl2
517	SDC1	cl2
518	LOX	cl2
519	SERPINH1	cl2
520	TGFBR3	cl2
521	FGF2	cl2
522	FGF10	cl2
523	FGF7	cl2
524	SMAD2	cl2
525	SMAD3	cl2
526	SERPINE1	cl2
527	ITGB1	cl2
528	HGF	cl2
529	LAMB1	cl2
530	LAMA4	cl2
531	LAMA5	cl2
532	LAMC1	cl2
533	MMP7	cl2
534	ITGAV	cl2
535	PDGFRB	cl2
536	ITGA2B	cl2
537	LAMC2	cl2
538	ITGA5	cl2
539	ITGA2	cl2
540	MMP14	cl2
541	LAMA3	cl2
542	COL4A5	cl2
543	COL4A2	cl2
544	LAMC3	cl2
545	LAMB4	cl2
546	LAMA1	cl2
547	COL4A6	cl2
548	CXCL12	cl2
549	COL4A3	cl2
550	COL4A4	cl2
551	ITGA4	cl2
552	ITGA6	cl2
553	ITGB3	cl2
554	PLOD1	cl2
555	COL5A3	cl2
556	COL14A1	cl2
557	THBS2	cl2
558	COL16A1	cl2
559	COL11A2	cl2
560	COL15A1	cl2
561	KDR	cl2
562	ITGA3	cl2
563	ITGB4	cl2
564	ITGB8	cl2
565	ITGA9	cl2
566	ITGB7	cl2
567	ITGA7	cl2
568	PTK2	cl2
569	ITGA8	cl2
570	TNMD	cl2
571	CTHRC1	cl2
572	ITGA10	cl2
573	ITGB6	cl2
574	ITGB5	cl2
575	PDGFB	cl2
576	ITGA1	cl2
577	ITGA11	cl2
578	GP6	cl2
579	P3H1	cl2
580	SULF1	cl2
581	TNXB	cl2
582	FBN2	cl2
583	THBS4	cl2
584	PDGFRA	cl2
585	DPT	cl2
586	MFAP5	cl2
587	HS2ST1	cl2
588	JAM2	cl2
589	ADAR	cl3
590	BST2	cl3
591	CCL5	cl3
592	CMPK2	cl3
593	CXCL10	cl3
594	CXCL11	cl3
595	DDX58	cl3
596	DDX60	cl3
597	DDX60L	cl3
598	DHX58	cl3
599	DTX3L	cl3
600	EIF2AK2	cl3
601	EPSTI1	cl3
602	GBP1	cl3
603	GBP2	cl3
604	GBP4	cl3
605	HELZ2	cl3
606	HERC5	cl3
607	HERC6	cl3
608	IFI16	cl3
609	IFI27	cl3
610	IFI35	cl3
611	IFI44	cl3
612	IFI44L	cl3
613	IFI6	cl3
614	IFIH1	cl3
615	IFIT1	cl3
616	IFIT2	cl3
617	IFIT3	cl3
618	IFIT5	cl3
619	IFITM1	cl3
620	IFITM2	cl3
621	IFITM3	cl3
622	IFNA1	cl3
623	IFNA14	cl3
624	IFNA17	cl3
625	IFNA2	cl3
626	IFNA21	cl3
627	IFNA4	cl3
628	IFNA5	cl3
629	IFNAR1	cl3
630	IFNAR2	cl3
631	IFNB1	cl3
632	IFNL1	cl3
633	IKBKE	cl3
634	IRF1	cl3
635	IRF3	cl3
636	IRF7	cl3
637	IRF9	cl3
638	ISG15	cl3
639	ISG20	cl3
640	JAK1	cl3
641	LY6E	cl3
642	MAVS	cl3
643	MX1	cl3
644	MX2	cl3
645	NMI	cl3
646	OAS1	cl3
647	OAS2	cl3
648	OAS3	cl3
649	OASL	cl3
650	PARP12	cl3
651	PARP14	cl3
652	PARP9	cl3
653	PLSCR1	cl3
654	RNASEL	cl3
655	RNF135	cl3
656	RSAD2	cl3
657	RTP4	cl3
658	SAMD9	cl3
659	SAMD9L	cl3
660	SAMHD1	cl3
661	SP110	cl3
662	STAT1	cl3
663	STAT2	cl3
664	TANK	cl3
665	TBK1	cl3
666	TRIM22	cl3
667	TRIM25	cl3
668	UBA7	cl3
669	UBE2L6	cl3
670	USP18	cl3
671	EIF2AK2	cl3
672	STAT2	cl3
673	STAT1	cl3
674	MX1	cl3
675	DDX58	cl3
676	IRF9	cl3
677	IFIH1	cl3
678	SAMHD1	cl3
679	IFI44	cl3
680	IFIT1	cl3
681	IFIT3	cl3
682	IFI6	cl3
683	RSAD2	cl3
684	IRF7	cl3
685	OAS2	cl3
686	OAS1	cl3
687	MX2	cl3
688	IFITM1	cl3
689	IFI35	cl3
690	ISG15	cl3
691	IRF1	cl3
692	IFNA1	cl3
693	TLR3	cl3
694	CXCL10	cl3
695	CXCL11	cl3
696	IFNB1	cl3
697	IRF3	cl3
698	IFIT2	cl3
699	USP18	cl3
700	OAS3	cl3
701	OASL	cl3
702	PARP12	cl3
703	PARP9	cl3
704	IFIT5	cl3
705	EPSTI1	cl3
706	IFI44L	cl3
707	DDX60	cl3
708	MAVS	cl3
709	GBP4	cl3
710	IFNA2	cl3
711	GBP1	cl3
712	DHX58	cl3
713	TRIM21	cl3
714	SP110	cl3
715	RTP4	cl3
716	TANK	cl3
717	DDX60L	cl3
718	HERC6	cl3
719	HERC5	cl3
720	IFNAR1	cl3
721	UBE2L6	cl3
722	ISG20	cl3
723	TRIM25	cl3
724	SAMD9L	cl3
725	RNF135	cl3
726	TBK1	cl3
727	IFNL1	cl3
728	UBA7	cl3
729	XAF1	cl3
730	RNASEL	cl3
731	IFI16	cl3
732	IFNA4	cl3
733	TRIM22	cl3
734	IFNA17	cl3
735	PARP14	cl3
736	JAK1	cl3
737	SAMD9	cl3
738	IKBKE	cl3
739	IFI27	cl3
740	HELZ2	cl3
741	IFITM3	cl3
742	GBP2	cl3
743	LY6E	cl3
744	NMI	cl3
745	PLSCR1	cl3
746	IFNA5	cl3
747	IFNA14	cl3
748	IFITM2	cl3
749	IFNA21	cl3
750	IFNAR2	cl3
751	USP41	cl3
