Genes	Modules
143	ENSG00000051523	cyan
144	ENSG00000051620	darkturquoise
145	ENSG00000052749	darkmagenta
146	ENSG00000053372	darkmagenta
147	ENSG00000053770	grey60
148	ENSG00000054116	blue
149	ENSG00000054118	brown
150	ENSG00000054148	cyan
151	ENSG00000054267	darkmagenta
152	ENSG00000054598	darkmagenta
153	ENSG00000055130	black
154	ENSG00000055211	darkturquoise
155	ENSG00000055332	darkmagenta
156	ENSG00000055483	darkmagenta
157	ENSG00000055950	blue
158	ENSG00000056097	black
159	ENSG00000057608	black
160	ENSG00000058262	grey
161	ENSG00000058272	darkmagenta
162	ENSG00000058668	white
163	ENSG00000059378	midnightblue
164	ENSG00000059573	black
165	ENSG00000060138	brown
166	ENSG00000060237	brown
167	ENSG00000060339	darkmagenta
168	ENSG00000060718	green
169	ENSG00000060982	black
170	ENSG00000061273	lightgreen
171	ENSG00000061676	black
172	ENSG00000062485	black
173	ENSG00000062716	black
174	ENSG00000063046	black
175	ENSG00000063177	blue
176	ENSG00000063244	brown
177	ENSG00000063245	cyan
178	ENSG00000063660	darkorange
179	ENSG00000064042	darkmagenta
180	ENSG00000064205	pink
181	ENSG00000064393	white
182	ENSG00000064419	darkmagenta
183	ENSG00000064601	green
184	ENSG00000064666	green
185	ENSG00000064726	black
186	ENSG00000064886	brown
187	ENSG00000065000	darkmagenta
188	ENSG00000065054	lightgreen
189	ENSG00000065135	black
190	ENSG00000065150	black
191	ENSG00000065154	black
192	ENSG00000065308	brown
193	ENSG00000065320	grey
194	ENSG00000065427	black
195	ENSG00000065457	darkmagenta
196	ENSG00000065485	blue
197	ENSG00000065518	darkturquoise
198	ENSG00000065534	lightyellow
199	ENSG00000065548	white
200	ENSG00000065809	steelblue
201	ENSG00000065911	darkturquoise
202	ENSG00000065978	black
203	ENSG00000066322	blue
204	ENSG00000066629	black
205	ENSG00000066697	black
206	ENSG00000067057	greenyellow
207	ENSG00000067066	white
208	ENSG00000067082	darkmagenta
209	ENSG00000067113	green
210	ENSG00000067167	darkturquoise
211	ENSG00000067182	green
212	ENSG00000067225	cyan
213	ENSG00000067334	darkmagenta
214	ENSG00000067369	darkmagenta
215	ENSG00000067560	blue
216	ENSG00000067704	black
217	ENSG00000067900	white
218	ENSG00000068079	midnightblue
219	ENSG00000068120	darkmagenta
220	ENSG00000068305	black
221	ENSG00000068366	black
222	ENSG00000068438	blue
223	ENSG00000068489	greenyellow
224	ENSG00000068697	blue
225	ENSG00000068878	black
226	ENSG00000068912	darkturquoise
227	ENSG00000069011	cyan
228	ENSG00000069275	darkmagenta
229	ENSG00000069329	black
230	ENSG00000069345	darkturquoise
231	ENSG00000069702	green
232	ENSG00000069849	steelblue
233	ENSG00000069956	black
234	ENSG00000070010	darkturquoise
235	ENSG00000070081	steelblue
236	ENSG00000070087	darkturquoise
237	ENSG00000070193	grey60
238	ENSG00000070214	brown
239	ENSG00000070404	darkmagenta
240	ENSG00000070614	green
241	ENSG00000070756	brown
242	ENSG00000070785	darkmagenta
243	ENSG00000070814	darkmagenta
244	ENSG00000070961	darkmagenta
245	ENSG00000071054	white
246	ENSG00000071082	blue
247	ENSG00000071127	greenyellow
248	ENSG00000071242	green
249	ENSG00000071282	lightyellow
250	ENSG00000071462	darkmagenta
251	ENSG00000071537	black
252	ENSG00000071553	white
253	ENSG00000071655	darkmagenta
254	ENSG00000071859	darkmagenta
255	ENSG00000071889	darkmagenta
256	ENSG00000071967	brown
257	ENSG00000072042	darkmagenta
258	ENSG00000072110	green
259	ENSG00000072210	brown
260	ENSG00000072274	black
261	ENSG00000072364	black
262	ENSG00000072518	darkmagenta
263	ENSG00000072682	blue
264	ENSG00000072778	cyan
265	ENSG00000072849	darkturquoise
266	ENSG00000072958	lightgreen
267	ENSG00000073008	darkmagenta
268	ENSG00000073614	darkmagenta
269	ENSG00000073712	darkturquoise
270	ENSG00000073756	black
271	ENSG00000073921	black
272	ENSG00000074071	cyan
273	ENSG00000074181	green
274	ENSG00000074201	blue
275	ENSG00000074319	darkturquoise
276	ENSG00000074410	darkmagenta
277	ENSG00000074416	darkmagenta
278	ENSG00000074527	black
279	ENSG00000074695	black
280	ENSG00000074696	darkturquoise
281	ENSG00000074800	cyan
282	ENSG00000074842	blue
283	ENSG00000075142	blue
284	ENSG00000075151	brown
285	ENSG00000075223	lightyellow
286	ENSG00000075239	blue
287	ENSG00000075292	black
288	ENSG00000075415	blue
289	ENSG00000075420	black
290	ENSG00000075426	brown
291	ENSG00000075618	green
292	ENSG00000075624	blue
293	ENSG00000075711	black
294	ENSG00000075785	black
295	ENSG00000076003	darkturquoise
296	ENSG00000076043	blue
297	ENSG00000076108	darkmagenta
298	ENSG00000076356	green
299	ENSG00000076716	green
300	ENSG00000076984	darkmagenta
301	ENSG00000077097	black
302	ENSG00000077147	black
303	ENSG00000077232	black
304	ENSG00000077235	grey60
305	ENSG00000077549	steelblue
306	ENSG00000077782	darkorange
307	ENSG00000077942	darkorange
308	ENSG00000078098	black
309	ENSG00000078269	black
310	ENSG00000078304	black
311	ENSG00000078369	black
312	ENSG00000078618	black
313	ENSG00000078668	darkturquoise
314	ENSG00000078674	black
315	ENSG00000078725	green
316	ENSG00000078804	darkorange
317	ENSG00000078808	green
318	ENSG00000079246	black
319	ENSG00000079308	green
320	ENSG00000079332	black
321	ENSG00000079432	darkorange
322	ENSG00000079739	lightyellow
323	ENSG00000079785	black
324	ENSG00000079819	brown
325	ENSG00000079931	pink
326	ENSG00000080503	brown
327	ENSG00000080573	green
328	ENSG00000080824	darkmagenta
329	ENSG00000081154	black
330	ENSG00000081320	lightyellow
331	ENSG00000082014	darkmagenta
332	ENSG00000082068	darkmagenta
333	ENSG00000082153	darkturquoise
334	ENSG00000082641	brown
335	ENSG00000082781	lightgreen
336	ENSG00000082898	black
337	ENSG00000083099	darkmagenta
338	ENSG00000083312	black
339	ENSG00000083444	lightgreen
340	ENSG00000083457	blue
341	ENSG00000083642	darkmagenta
342	ENSG00000083845	blue
343	ENSG00000083857	steelblue
344	ENSG00000084073	black
345	ENSG00000084090	lightyellow
346	ENSG00000084207	blue
347	ENSG00000084234	darkmagenta
348	ENSG00000084623	darkmagenta
349	ENSG00000084636	darkorange
350	ENSG00000084733	black
351	ENSG00000084754	brown
352	ENSG00000085063	blue
353	ENSG00000085117	darkmagenta
354	ENSG00000085224	darkmagenta
355	ENSG00000085449	black
356	ENSG00000085662	darkmagenta
357	ENSG00000085719	black
358	ENSG00000085998	grey
359	ENSG00000086061	darkturquoise
360	ENSG00000086062	pink
361	ENSG00000086065	darkturquoise
362	ENSG00000086232	black
363	ENSG00000086289	grey60
364	ENSG00000086504	darkmagenta
365	ENSG00000086598	black
366	ENSG00000086758	brown
367	ENSG00000087053	black
368	ENSG00000087074	lightyellow
369	ENSG00000087077	lightgreen
370	ENSG00000087086	blue
371	ENSG00000087087	darkmagenta
372	ENSG00000087116	green
373	ENSG00000087191	cyan
374	ENSG00000087245	darkmagenta
375	ENSG00000087274	green
376	ENSG00000087302	blue
377	ENSG00000087303	green
378	ENSG00000087365	darkmagenta
379	ENSG00000087448	darkmagenta
380	ENSG00000087460	green
381	ENSG00000087470	black
382	ENSG00000087502	black
383	ENSG00000088205	black
384	ENSG00000088247	brown
385	ENSG00000088256	darkmagenta
386	ENSG00000088325	darkturquoise
387	ENSG00000088367	lightyellow
388	ENSG00000088826	greenyellow
389	ENSG00000088832	black
390	ENSG00000088888	darkmagenta
391	ENSG00000088930	black
392	ENSG00000088986	blue
393	ENSG00000089006	black
394	ENSG00000089009	black
395	ENSG00000089048	darkmagenta
396	ENSG00000089053	white
397	ENSG00000089063	black
398	ENSG00000089127	midnightblue
399	ENSG00000089154	brown
400	ENSG00000089157	darkturquoise
401	ENSG00000089220	darkmagenta
402	ENSG00000089248	lightgreen
403	ENSG00000089280	darkturquoise
404	ENSG00000089327	darkmagenta
405	ENSG00000089597	grey
406	ENSG00000089685	steelblue
407	ENSG00000089693	lightgreen
408	ENSG00000090006	green
409	ENSG00000090054	black
410	ENSG00000090060	black
411	ENSG00000090266	blue
412	ENSG00000090273	cyan
413	ENSG00000090339	lightyellow
414	ENSG00000090487	black
415	ENSG00000090530	greenyellow
416	ENSG00000090615	darkorange
417	ENSG00000090621	darkorange
418	ENSG00000090861	brown
419	ENSG00000090863	darkorange
420	ENSG00000090905	darkmagenta
421	ENSG00000091039	black
422	ENSG00000091136	brown
423	ENSG00000091140	black
424	ENSG00000091164	blue
425	ENSG00000091317	darkturquoise
426	ENSG00000091436	darkmagenta
427	ENSG00000091490	grey60
428	ENSG00000091527	black
429	ENSG00000091542	grey
430	ENSG00000091622	darkmagenta
431	ENSG00000091640	darkturquoise
432	ENSG00000091986	darkmagenta
433	ENSG00000092068	brown
434	ENSG00000092108	black
435	ENSG00000092148	brown
436	ENSG00000092199	black
437	ENSG00000092201	black
438	ENSG00000092203	darkmagenta
439	ENSG00000092607	brown
440	ENSG00000092820	darkmagenta
441	ENSG00000092841	blue
442	ENSG00000092964	brown
443	ENSG00000093010	blue
444	ENSG00000093144	black
445	ENSG00000093183	white
446	ENSG00000094804	darkturquoise
447	ENSG00000094916	black
448	ENSG00000095139	black
449	ENSG00000095303	grey60
450	ENSG00000095380	darkmagenta
451	ENSG00000096060	green
452	ENSG00000096384	darkmagenta
453	ENSG00000096433	brown
454	ENSG00000096746	darkturquoise
455	ENSG00000097007	green
456	ENSG00000097033	black
457	ENSG00000099194	brown
458	ENSG00000099246	black
459	ENSG00000099250	green
460	ENSG00000099331	darkorange
461	ENSG00000099337	grey60
462	ENSG00000099341	blue
463	ENSG00000099377	cyan
464	ENSG00000099385	blue
465	ENSG00000099622	green
466	ENSG00000099624	cyan
467	ENSG00000099783	brown
468	ENSG00000099795	cyan
469	ENSG00000099817	darkorange
470	ENSG00000099821	darkmagenta
471	ENSG00000099860	lightyellow
472	ENSG00000099901	darkturquoise
473	ENSG00000099994	green
474	ENSG00000099998	green
475	ENSG00000100030	black
476	ENSG00000100075	lightgreen
477	ENSG00000100097	blue
478	ENSG00000100106	darkorange
479	ENSG00000100129	black
480	ENSG00000100138	blue
481	ENSG00000100142	blue
482	ENSG00000100196	darkturquoise
483	ENSG00000100201	black
484	ENSG00000100216	blue
485	ENSG00000100219	darkturquoise
486	ENSG00000100220	black
487	ENSG00000100234	steelblue
488	ENSG00000100241	darkorange
489	ENSG00000100242	green
490	ENSG00000100243	darkorange
491	ENSG00000100258	cyan
492	ENSG00000100280	white
493	ENSG00000100281	darkmagenta
494	ENSG00000100284	darkmagenta
495	ENSG00000100292	brown
496	ENSG00000100300	lightgreen
497	ENSG00000100316	black
498	ENSG00000100335	white
499	ENSG00000100342	cyan
500	ENSG00000100345	grey
501	ENSG00000100348	darkmagenta
502	ENSG00000100353	blue
503	ENSG00000100354	darkmagenta
504	ENSG00000100364	green
505	ENSG00000100380	black
506	ENSG00000100387	blue
507	ENSG00000100401	grey60
508	ENSG00000100403	green
509	ENSG00000100422	brown
510	ENSG00000100439	brown
511	ENSG00000100519	black
512	ENSG00000100528	darkturquoise
513	ENSG00000100554	darkturquoise
514	ENSG00000100567	darkturquoise
515	ENSG00000100591	black
516	ENSG00000100600	darkturquoise
517	ENSG00000100632	darkturquoise
518	ENSG00000100644	black
519	ENSG00000100650	black
520	ENSG00000100664	darkmagenta
521	ENSG00000100739	pink
522	ENSG00000100804	darkturquoise
523	ENSG00000100811	darkmagenta
524	ENSG00000100813	darkmagenta
525	ENSG00000100906	darkmagenta
526	ENSG00000100934	black
527	ENSG00000100979	green
528	ENSG00000100991	brown
529	ENSG00000100994	green
530	ENSG00000101000	pink
531	ENSG00000101150	cyan
532	ENSG00000101160	cyan
533	ENSG00000101161	darkmagenta
534	ENSG00000101182	grey
535	ENSG00000101199	darkmagenta
536	ENSG00000101220	cyan
537	ENSG00000101224	grey
538	ENSG00000101230	green
539	ENSG00000101236	darkmagenta
540	ENSG00000101266	steelblue
541	ENSG00000101335	darkmagenta
542	ENSG00000101337	brown
543	ENSG00000101347	grey60
544	ENSG00000101350	darkmagenta
545	ENSG00000101361	white
546	ENSG00000101365	darkmagenta
547	ENSG00000101367	darkturquoise
548	ENSG00000101384	black
549	ENSG00000101417	darkmagenta
550	ENSG00000101439	darkorange
551	ENSG00000101460	darkmagenta
552	ENSG00000101474	green
553	ENSG00000101558	black
554	ENSG00000101608	darkturquoise
555	ENSG00000101745	black
556	ENSG00000101773	black
557	ENSG00000101782	darkmagenta
558	ENSG00000101825	steelblue
559	ENSG00000101846	green
560	ENSG00000101856	blue
561	ENSG00000101882	darkmagenta
562	ENSG00000101955	green
563	ENSG00000101972	black
564	ENSG00000102007	darkturquoise
565	ENSG00000102024	black
566	ENSG00000102038	black
567	ENSG00000102054	black
568	ENSG00000102144	darkturquoise
569	ENSG00000102158	darkmagenta
570	ENSG00000102172	darkturquoise
571	ENSG00000102181	green
572	ENSG00000102225	grey
573	ENSG00000102226	darkmagenta
574	ENSG00000102241	black
575	ENSG00000102265	darkmagenta
576	ENSG00000102316	brown
577	ENSG00000102317	steelblue
578	ENSG00000102359	darkmagenta
579	ENSG00000102390	darkmagenta
580	ENSG00000102547	darkturquoise
581	ENSG00000102580	black
582	ENSG00000102802	darkturquoise
583	ENSG00000102804	black
584	ENSG00000102882	darkorange
585	ENSG00000102898	blue
586	ENSG00000102978	black
587	ENSG00000103018	darkturquoise
588	ENSG00000103035	darkmagenta
589	ENSG00000103066	darkmagenta
590	ENSG00000103145	darkmagenta
591	ENSG00000103187	green
592	ENSG00000103202	blue
593	ENSG00000103257	grey
594	ENSG00000103335	lightgreen
595	ENSG00000103342	steelblue
596	ENSG00000103363	cyan
597	ENSG00000103502	lightgreen
598	ENSG00000103550	darkmagenta
599	ENSG00000103591	black
600	ENSG00000103769	darkturquoise
601	ENSG00000103855	grey
602	ENSG00000103888	lightyellow
603	ENSG00000103994	white
604	ENSG00000104131	white
605	ENSG00000104164	darkmagenta
606	ENSG00000104213	blue
607	ENSG00000104218	darkmagenta
608	ENSG00000104324	black
609	ENSG00000104325	darkturquoise
610	ENSG00000104331	black
611	ENSG00000104332	white
612	ENSG00000104368	grey60
613	ENSG00000104388	black
614	ENSG00000104408	black
615	ENSG00000104419	brown
616	ENSG00000104447	darkmagenta
617	ENSG00000104517	black
618	ENSG00000104613	blue
619	ENSG00000104635	steelblue
620	ENSG00000104723	darkturquoise
621	ENSG00000104756	black
622	ENSG00000104763	black
623	ENSG00000104765	darkturquoise
624	ENSG00000104805	darkorange
625	ENSG00000104812	lightgreen
626	ENSG00000104853	grey
627	ENSG00000104870	lightgreen
628	ENSG00000104904	cyan
629	ENSG00000104946	darkorange
630	ENSG00000104960	darkmagenta
631	ENSG00000104964	lightgreen
632	ENSG00000104969	cyan
633	ENSG00000104979	blue
634	ENSG00000105058	darkmagenta
635	ENSG00000105088	brown
636	ENSG00000105127	darkmagenta
637	ENSG00000105137	darkorange
638	ENSG00000105185	darkturquoise
639	ENSG00000105193	blue
640	ENSG00000105197	darkmagenta
641	ENSG00000105220	darkmagenta
642	ENSG00000105221	green
643	ENSG00000105223	darkorange
644	ENSG00000105254	blue
645	ENSG00000105270	darkorange
646	ENSG00000105281	blue
647	ENSG00000105323	brown
648	ENSG00000105329	greenyellow
649	ENSG00000105355	green
650	ENSG00000105372	blue
651	ENSG00000105373	grey
652	ENSG00000105401	grey
653	ENSG00000105404	darkmagenta
654	ENSG00000105426	darkorange
655	ENSG00000105429	darkorange
656	ENSG00000105438	cyan
657	ENSG00000105472	darkmagenta
658	ENSG00000105559	grey60
659	ENSG00000105568	grey
660	ENSG00000105576	white
661	ENSG00000105640	black
662	ENSG00000105664	darkmagenta
663	ENSG00000105669	cyan
664	ENSG00000105677	blue
665	ENSG00000105701	darkorange
666	ENSG00000105821	darkmagenta
667	ENSG00000105825	grey60
668	ENSG00000105835	black
669	ENSG00000105849	darkmagenta
670	ENSG00000105854	blue
671	ENSG00000105887	black
672	ENSG00000105953	grey
673	ENSG00000105968	black
674	ENSG00000105971	blue
675	ENSG00000105974	steelblue
676	ENSG00000105976	green
677	ENSG00000105993	black
678	ENSG00000106052	black
679	ENSG00000106080	white
680	ENSG00000106105	darkturquoise
681	ENSG00000106153	blue
682	ENSG00000106211	green
683	ENSG00000106244	darkturquoise
684	ENSG00000106261	darkmagenta
685	ENSG00000106263	grey
686	ENSG00000106333	lightgreen
687	ENSG00000106355	darkturquoise
688	ENSG00000106366	grey60
689	ENSG00000106367	blue
690	ENSG00000106392	darkturquoise
691	ENSG00000106397	grey
692	ENSG00000106400	cyan
693	ENSG00000106443	darkmagenta
694	ENSG00000106483	grey60
695	ENSG00000106484	lightyellow
696	ENSG00000106538	darkmagenta
697	ENSG00000106546	greenyellow
698	ENSG00000106554	black
699	ENSG00000106591	blue
700	ENSG00000106609	blue
701	ENSG00000106615	darkturquoise
702	ENSG00000106624	grey
703	ENSG00000106628	lightgreen
704	ENSG00000106636	grey
705	ENSG00000106665	darkmagenta
706	ENSG00000106682	black
707	ENSG00000106683	darkmagenta
708	ENSG00000106723	black
709	ENSG00000106771	darkmagenta
710	ENSG00000106772	green
711	ENSG00000106780	darkmagenta
712	ENSG00000106799	darkturquoise
713	ENSG00000106803	darkturquoise
714	ENSG00000106853	blue
715	ENSG00000106991	darkmagenta
716	ENSG00000106992	darkmagenta
717	ENSG00000107104	brown
718	ENSG00000107175	darkmagenta
719	ENSG00000107223	darkmagenta
720	ENSG00000107262	blue
721	ENSG00000107263	green
722	ENSG00000107281	darkorange
723	ENSG00000107290	black
724	ENSG00000107341	darkmagenta
725	ENSG00000107372	black
726	ENSG00000107562	pink
727	ENSG00000107566	steelblue
728	ENSG00000107581	steelblue
729	ENSG00000107625	black
730	ENSG00000107738	darkorange
731	ENSG00000107796	darkturquoise
732	ENSG00000107821	darkorange
733	ENSG00000107862	brown
734	ENSG00000107863	black
735	ENSG00000107937	black
736	ENSG00000107949	darkturquoise
737	ENSG00000107957	grey
738	ENSG00000107984	steelblue
739	ENSG00000108010	darkturquoise
740	ENSG00000108055	black
741	ENSG00000108107	blue
742	ENSG00000108175	brown
743	ENSG00000108298	blue
744	ENSG00000108306	grey60
745	ENSG00000108312	brown
746	ENSG00000108424	black
747	ENSG00000108468	black
748	ENSG00000108518	blue
749	ENSG00000108551	lightyellow
750	ENSG00000108561	darkturquoise
751	ENSG00000108582	black
752	ENSG00000108588	black
753	ENSG00000108602	grey
754	ENSG00000108604	green
755	ENSG00000108654	black
756	ENSG00000108671	darkmagenta
757	ENSG00000108679	darkmagenta
758	ENSG00000108691	grey
759	ENSG00000108819	darkorange
760	ENSG00000108821	grey60
761	ENSG00000108826	grey
762	ENSG00000108828	grey
763	ENSG00000108829	brown
764	ENSG00000108846	darkorange
765	ENSG00000108848	darkmagenta
766	ENSG00000108854	darkmagenta
767	ENSG00000108861	darkmagenta
768	ENSG00000108946	black
769	ENSG00000109046	black
770	ENSG00000109062	green
771	ENSG00000109099	green
772	ENSG00000109111	white
773	ENSG00000109113	lightgreen
774	ENSG00000109180	darkturquoise
775	ENSG00000109332	black
776	ENSG00000109472	black
777	ENSG00000109475	blue
778	ENSG00000109606	darkturquoise
779	ENSG00000109610	lightgreen
780	ENSG00000109670	darkmagenta
781	ENSG00000109743	darkturquoise
782	ENSG00000109790	black
783	ENSG00000109814	black
784	ENSG00000109846	darkorange
785	ENSG00000109861	darkturquoise
786	ENSG00000109971	black
787	ENSG00000110002	lightgreen
788	ENSG00000110047	darkorange
789	ENSG00000110075	black
790	ENSG00000110090	darkmagenta
791	ENSG00000110092	darkmagenta
792	ENSG00000110108	lightgreen
793	ENSG00000110318	darkmagenta
794	ENSG00000110321	black
795	ENSG00000110330	black
796	ENSG00000110367	grey60
797	ENSG00000110446	midnightblue
798	ENSG00000110492	grey
799	ENSG00000110651	darkorange
800	ENSG00000110696	black
801	ENSG00000110700	blue
802	ENSG00000110717	darkmagenta
803	ENSG00000110811	cyan
804	ENSG00000110841	black
805	ENSG00000110880	darkturquoise
806	ENSG00000110900	brown
807	ENSG00000110906	darkturquoise
808	ENSG00000110917	darkmagenta
809	ENSG00000110955	darkturquoise
810	ENSG00000110958	blue
811	ENSG00000111011	black
812	ENSG00000111077	green
813	ENSG00000111142	darkmagenta
814	ENSG00000111145	darkmagenta
815	ENSG00000111186	darkmagenta
816	ENSG00000111229	darkturquoise
817	ENSG00000111237	darkturquoise
818	ENSG00000111321	green
819	ENSG00000111328	black
820	ENSG00000111331	midnightblue
821	ENSG00000111335	midnightblue
822	ENSG00000111341	darkturquoise
823	ENSG00000111358	darkmagenta
824	ENSG00000111364	darkmagenta
825	ENSG00000111371	darkturquoise
826	ENSG00000111412	darkmagenta
827	ENSG00000111481	blue
828	ENSG00000111530	black
829	ENSG00000111540	black
830	ENSG00000111596	black
831	ENSG00000111639	blue
832	ENSG00000111640	darkturquoise
833	ENSG00000111642	darkmagenta
834	ENSG00000111652	darkturquoise
835	ENSG00000111667	grey
836	ENSG00000111669	white
837	ENSG00000111674	greenyellow
838	ENSG00000111676	green
839	ENSG00000111678	cyan
840	ENSG00000111716	blue
841	ENSG00000111775	blue
842	ENSG00000111799	brown
843	ENSG00000111817	steelblue
844	ENSG00000111832	blue
845	ENSG00000111885	brown
846	ENSG00000111897	black
847	ENSG00000111906	blue
848	ENSG00000111907	lightyellow
849	ENSG00000112078	darkturquoise
850	ENSG00000112081	black
851	ENSG00000112110	darkturquoise
852	ENSG00000112208	blue
853	ENSG00000112249	black
854	ENSG00000112305	darkmagenta
855	ENSG00000112306	blue
856	ENSG00000112308	black
857	ENSG00000112312	darkturquoise
858	ENSG00000112320	darkmagenta
859	ENSG00000112335	darkturquoise
860	ENSG00000112339	black
861	ENSG00000112378	lightyellow
862	ENSG00000112419	black
863	ENSG00000112562	darkturquoise
864	ENSG00000112576	lightgreen
865	ENSG00000112655	greenyellow
866	ENSG00000112695	blue
867	ENSG00000112697	black
868	ENSG00000112699	lightgreen
869	ENSG00000112715	steelblue
870	ENSG00000112761	darkturquoise
871	ENSG00000112769	brown
872	ENSG00000112773	grey
873	ENSG00000112851	black
874	ENSG00000112977	brown
875	ENSG00000113013	black
876	ENSG00000113083	steelblue
877	ENSG00000113140	darkturquoise
878	ENSG00000113141	grey60
879	ENSG00000113194	darkmagenta
880	ENSG00000113273	steelblue
881	ENSG00000113312	darkmagenta
882	ENSG00000113328	black
883	ENSG00000113369	black
884	ENSG00000113384	black
885	ENSG00000113387	blue
886	ENSG00000113389	steelblue
887	ENSG00000113407	black
888	ENSG00000113460	darkturquoise
889	ENSG00000113578	darkmagenta
890	ENSG00000113580	black
891	ENSG00000113583	black
892	ENSG00000113621	blue
893	ENSG00000113643	black
894	ENSG00000113648	black
895	ENSG00000113657	white
896	ENSG00000113712	black
897	ENSG00000113719	green
898	ENSG00000113721	green
899	ENSG00000113732	blue
900	ENSG00000113739	midnightblue
901	ENSG00000113742	darkmagenta
902	ENSG00000113758	darkorange
903	ENSG00000113810	black
904	ENSG00000113845	blue
905	ENSG00000113916	brown
906	ENSG00000114019	lightyellow
907	ENSG00000114023	blue
908	ENSG00000114125	blue
909	ENSG00000114126	darkmagenta
910	ENSG00000114209	darkturquoise
911	ENSG00000114251	steelblue
912	ENSG00000114270	green
913	ENSG00000114302	darkmagenta
914	ENSG00000114315	steelblue
915	ENSG00000114353	cyan
916	ENSG00000114354	black
917	ENSG00000114391	blue
918	ENSG00000114416	black
919	ENSG00000114439	darkmagenta
920	ENSG00000114446	darkturquoise
921	ENSG00000114480	darkturquoise
922	ENSG00000114503	black
923	ENSG00000114554	green
924	ENSG00000114573	black
925	ENSG00000114686	black
926	ENSG00000114796	darkmagenta
927	ENSG00000114850	black
928	ENSG00000114853	lightgreen
929	ENSG00000114861	darkmagenta
930	ENSG00000114867	grey60
931	ENSG00000114902	blue
932	ENSG00000114978	black
933	ENSG00000114999	black
934	ENSG00000115053	black
935	ENSG00000115091	black
936	ENSG00000115107	brown
937	ENSG00000115128	blue
938	ENSG00000115211	darkmagenta
939	ENSG00000115216	black
940	ENSG00000115233	darkturquoise
941	ENSG00000115234	darkorange
942	ENSG00000115241	grey60
943	ENSG00000115267	midnightblue
944	ENSG00000115268	darkturquoise
945	ENSG00000115306	green
946	ENSG00000115307	midnightblue
947	ENSG00000115310	darkmagenta
948	ENSG00000115318	midnightblue
949	ENSG00000115325	lightgreen
950	ENSG00000115380	lightyellow
951	ENSG00000115414	brown
952	ENSG00000115415	black
953	ENSG00000115419	darkturquoise
954	ENSG00000115457	green
955	ENSG00000115461	grey
956	ENSG00000115484	darkturquoise
957	ENSG00000115504	black
958	ENSG00000115524	black
959	ENSG00000115561	darkturquoise
960	ENSG00000115594	black
961	ENSG00000115641	steelblue
962	ENSG00000115652	blue
963	ENSG00000115677	brown
964	ENSG00000115738	pink
965	ENSG00000115758	darkturquoise
966	ENSG00000115806	black
967	ENSG00000115866	darkturquoise
968	ENSG00000115875	darkturquoise
969	ENSG00000115935	brown
970	ENSG00000115944	darkturquoise
971	ENSG00000115963	black
972	ENSG00000115977	darkmagenta
973	ENSG00000115993	black
974	ENSG00000116005	darkmagenta
975	ENSG00000116016	lightyellow
976	ENSG00000116030	black
977	ENSG00000116044	black
978	ENSG00000116117	darkmagenta
979	ENSG00000116120	darkturquoise
980	ENSG00000116132	darkmagenta
981	ENSG00000116133	green
982	ENSG00000116161	darkturquoise
983	ENSG00000116171	black
984	ENSG00000116199	green
985	ENSG00000116209	blue
986	ENSG00000116221	grey
987	ENSG00000116237	steelblue
988	ENSG00000116251	black
989	ENSG00000116260	grey60
990	ENSG00000116285	steelblue
991	ENSG00000116288	blue
992	ENSG00000116459	darkturquoise
993	ENSG00000116489	black
994	ENSG00000116560	brown
995	ENSG00000116580	darkmagenta
996	ENSG00000116649	green
997	ENSG00000116678	lightyellow
998	ENSG00000116679	black
999	ENSG00000116690	green
1000	ENSG00000116711	black
1001	ENSG00000116729	greenyellow
1002	ENSG00000116754	darkmagenta
1003	ENSG00000116774	darkorange
1004	ENSG00000116786	darkorange
1005	ENSG00000116871	white
1006	ENSG00000116898	blue
1007	ENSG00000116906	black
1008	ENSG00000116918	darkmagenta
1009	ENSG00000116962	green
1010	ENSG00000117118	black
1011	ENSG00000117143	darkturquoise
1012	ENSG00000117152	darkturquoise
1013	ENSG00000117222	darkmagenta
1014	ENSG00000117226	black
1015	ENSG00000117228	darkturquoise
1016	ENSG00000117280	darkmagenta
1017	ENSG00000117298	darkorange
1018	ENSG00000117335	black
1019	ENSG00000117362	darkturquoise
1020	ENSG00000117385	grey
1021	ENSG00000117394	pink
1022	ENSG00000117395	darkturquoise
1023	ENSG00000117410	blue
1024	ENSG00000117411	cyan
1025	ENSG00000117450	blue
1026	ENSG00000117519	darkturquoise
1027	ENSG00000117523	darkmagenta
1028	ENSG00000117592	blue
1029	ENSG00000117594	pink
1030	ENSG00000117614	darkmagenta
1031	ENSG00000117632	steelblue
1032	ENSG00000117691	blue
1033	ENSG00000117748	blue
1034	ENSG00000117868	brown
1035	ENSG00000117899	darkmagenta
1036	ENSG00000117906	darkturquoise
1037	ENSG00000117984	darkmagenta
1038	ENSG00000118217	darkmagenta
1039	ENSG00000118257	white
1040	ENSG00000118508	blue
1041	ENSG00000118515	darkturquoise
1042	ENSG00000118523	lightyellow
1043	ENSG00000118564	black
1044	ENSG00000118680	blue
1045	ENSG00000118689	white
1046	ENSG00000118762	lightyellow
1047	ENSG00000118816	grey
1048	ENSG00000118855	black
1049	ENSG00000118873	darkmagenta
1050	ENSG00000118898	green
1051	ENSG00000118900	darkmagenta
1052	ENSG00000118985	black
1053	ENSG00000119004	darkmagenta
1054	ENSG00000119013	blue
1055	ENSG00000119147	green
